SDG Goal,SDG Target,SDG Indicator,Country or Territory code,Country or Territory Name,SDG Region,SDG Sub-Region,Data Reference Year,Urban population living in slums or informal settlements (thousands),Data Units,Data Source,Footnote
11,11.1,11.1.1,4,Afghanistan,Central Asia and Southern Asia,Southern Asia,2015," 5,933 ",Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,4,Afghanistan,Central Asia and Southern Asia,Southern Asia,2016," 6,254 ",Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,4,Afghanistan,Central Asia and Southern Asia,Southern Asia,2017," 6,580 ",Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,4,Afghanistan,Central Asia and Southern Asia,Southern Asia,2018," 6,797 ",Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,4,Afghanistan,Central Asia and Southern Asia,Southern Asia,2019," 7,024 ",Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,4,Afghanistan,Central Asia and Southern Asia,Southern Asia,2020," 7,260 ",Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,4,Afghanistan,Central Asia and Southern Asia,Southern Asia,2021," 7,291 ",Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,4,Afghanistan,Central Asia and Southern Asia,Southern Asia,2022," 7,580 ",Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,8,Albania,Northern America and Europe,Southern Europe,2000, 366 ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,8,Albania,Northern America and Europe,Southern Europe,2001, 355 ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,8,Albania,Northern America and Europe,Southern Europe,2002, 346 ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,8,Albania,Northern America and Europe,Southern Europe,2003, 337 ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,8,Albania,Northern America and Europe,Southern Europe,2004, 325 ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,8,Albania,Northern America and Europe,Southern Europe,2005, 312 ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,8,Albania,Northern America and Europe,Southern Europe,2006, 299 ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,8,Albania,Northern America and Europe,Southern Europe,2007, 284 ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,8,Albania,Northern America and Europe,Southern Europe,2008, 268 ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,8,Albania,Northern America and Europe,Southern Europe,2009, 253 ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,8,Albania,Northern America and Europe,Southern Europe,2010, 236 ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,8,Albania,Northern America and Europe,Southern Europe,2011, 220 ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,8,Albania,Northern America and Europe,Southern Europe,2012, 205 ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,8,Albania,Northern America and Europe,Southern Europe,2013, 188 ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,8,Albania,Northern America and Europe,Southern Europe,2014, 170 ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,8,Albania,Northern America and Europe,Southern Europe,2015, 153 ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,8,Albania,Northern America and Europe,Southern Europe,2016, 133 ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,8,Albania,Northern America and Europe,Southern Europe,2017, 115 ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,8,Albania,Northern America and Europe,Southern Europe,2018, 94 ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,8,Albania,Northern America and Europe,Southern Europe,2019, 72 ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,8,Albania,Northern America and Europe,Southern Europe,2020, 51 ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,8,Albania,Northern America and Europe,Southern Europe,2021, 50 ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,8,Albania,Northern America and Europe,Southern Europe,2022, 51 ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,12,Algeria,Western Asia and Northern Africa,Northern Africa,2007," 6,904 ",Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,12,Algeria,Western Asia and Northern Africa,Northern Africa,2008," 7,097 ",Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,12,Algeria,Western Asia and Northern Africa,Northern Africa,2009," 7,300 ",Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,12,Algeria,Western Asia and Northern Africa,Northern Africa,2010," 7,513 ",Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,12,Algeria,Western Asia and Northern Africa,Northern Africa,2011," 7,748 ",Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,12,Algeria,Western Asia and Northern Africa,Northern Africa,2012," 7,478 ",Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,12,Algeria,Western Asia and Northern Africa,Northern Africa,2013," 7,184 ",Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,12,Algeria,Western Asia and Northern Africa,Northern Africa,2014," 6,861 ",Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,12,Algeria,Western Asia and Northern Africa,Northern Africa,2015," 6,505 ",Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,12,Algeria,Western Asia and Northern Africa,Northern Africa,2016," 6,115 ",Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,12,Algeria,Western Asia and Northern Africa,Northern Africa,2017," 5,693 ",Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,12,Algeria,Western Asia and Northern Africa,Northern Africa,2018," 5,239 ",Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,12,Algeria,Western Asia and Northern Africa,Northern Africa,2019," 4,753 ",Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,12,Algeria,Western Asia and Northern Africa,Northern Africa,2020," 4,238 ",Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,12,Algeria,Western Asia and Northern Africa,Northern Africa,2021," 4,325 ",Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,12,Algeria,Western Asia and Northern Africa,Northern Africa,2022," 4,416 ",Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,20,Andorra,Northern America and Europe,Southern Europe,2000, -   ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,20,Andorra,Northern America and Europe,Southern Europe,2001, -   ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,20,Andorra,Northern America and Europe,Southern Europe,2002, -   ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,20,Andorra,Northern America and Europe,Southern Europe,2003, -   ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,20,Andorra,Northern America and Europe,Southern Europe,2004, -   ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,20,Andorra,Northern America and Europe,Southern Europe,2005, -   ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,20,Andorra,Northern America and Europe,Southern Europe,2006, -   ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,20,Andorra,Northern America and Europe,Southern Europe,2007, -   ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
11,11.1,11.1.1,20,Andorra,Northern America and Europe,Southern Europe,2008, -   ,Urban population (thousands),UN-Habitat Urban Indicators Database  ,Estimates based on the global methodology on household deprivations where the inhabitants suffer one or more of the ‘household deprivations’. Data for the slum/informal settlements components of the indicator is  computed from censuses and national household surveys such as the Demographic and Health Surveys (DHS) and Multiple Indicator Cluster Surveys (MICS) with urban population derived from World Urbanization Prospects database.
